"";"RSAL";"RGALLER";"REARING_NUMBER";"LEG";"N_GALLS";"N_CLEAN GALLS";"N_REAL GALLS";"PARASITISED_GALLS";"UNPARASITISED_GALLS";"TOTAL_PARASITISM RATE"
"1034";"Sal11";"Hoblit";"1999SZ36Hoblit";"08.07.99";8;2;6;2;4;0,333333333
"1035";"Sal10";"Hpolit";"1999SZ37Hpolit";"06.07.99";17;7;10;0;10;0
"1036";"Sal11";"Hoblit";"1999SZ38Hoblit";"06.07.99";11;2;9;0;9;0
"1037";"Sal10";"Hpolit";"1999SZ39Hpolit";"06.07.99";60;9;51;7;44;0,137254902
"1038";"Sal35";"Eweiff";"1999SZ40Eweiff";"03.04.99";89;0;89;74;15;0,831460674
"1039";"Sal31";"Hangli";"1999SZ40Hangli";"08.07.99";12;8;4;0;4;0
"1040";"Sal10";"Hpolit";"1999SZ42Hpolit";"05.07.99";18;5;13;0;13;0
"1041";"Sal10";"Hpolit";"1999SZ43Hpolit";"05.07.99";4;1;3;2;1;0,666666667
"1042";"Sal11";"Hoblit";"1999SZ44Hoblit";"06.07.99";6;2;4;0;4;0
"1043";"Sal31";"Hangli";"1999SZ45Hangli";"06.07.99";42;22;20;0;20;0
"1044";"Sal9";"Hpruss";"1999SZ46Hpruss";"06.07.99";49;12;37;2;35;0,054054054
"1045";"Sal10";"Hpolit";"1999SZ47Hpolit";"05.07.99";57;7;50;0;50;0
"1046";"Sal11";"Hoblit";"1999SZ48Hoblit";"05.07.99";40;8;32;0;32;0
"1047";"Sal10";"Hpolit";"1999SZ49Hpolit";"06.07.99";31;2;29;2;27;0,068965517
